housing_new_construction,housing_extensions,non_residential_icef,non_residential_services,interest_rate,currency_exchange_rate,economic_perception_index,economic_activity_indicator,date
433671.0,24860.0,236222.0,119057.0,5.03,663.264,35.0,58.467205606835,2002-03-01
642258.0,35337.0,315781.0,165995.0,4.74,650.8209524,37.0,57.430155993455,2002-04-01
524041.0,51521.0,340699.0,91805.0,4.29,653.9065,38.0,56.898668669087,2002-05-01
1045075.0,35362.0,219460.0,122865.0,3.99,673.766,38.0,55.359901669113,2002-06-01
570518.0,61605.0,214563.0,100501.0,3.54,696.3343478,37.0,54.184751468318,2002-07-01
371228.0,26162.0,329542.0,113301.0,3.08,702.3047619,33.0,54.948693368022,2002-08-01
499140.0,45363.0,184354.0,185761.0,3.0,726.9789474,33.0,53.722113357047,2002-09-01
515587.0,40577.0,205569.0,140875.0,2.99,742.3173913,31.0,57.956402117919,2002-10-01
502650.0,56647.0,384767.0,114583.0,3.0,709.4765,31.0,58.266846088052,2002-11-01
477044.0,35958.0,215465.0,158209.0,3.03,701.949,37.0,60.624443844482,2002-12-01
539310.0,58149.0,363052.0,159066.0,2.81,722.4777273,38.0,56.955084196657,2003-01-01
510558.0,35873.0,140722.0,145797.0,2.76,745.2135,38.0,54.856650202714,2003-02-01
672499.0,50789.0,220565.0,334978.0,2.67,743.2833333,34.0,61.862995629042,2003-03-01
656755.0,41179.0,229477.0,533402.0,2.74,718.2533333,35.0,60.637087338803,2003-04-01
663359.0,34129.0,195201.0,201011.0,2.75,703.58,41.0,60.085063570149,2003-05-01
865974.0,41350.0,173204.0,184823.0,2.73,709.1845,36.0,58.541869244343,2003-06-01
934780.0,48737.0,222776.0,184883.0,2.75,701.1404348,37.0,57.991105850779,2003-07-01
758182.0,35273.0,227641.0,156625.0,2.75,703.7725,36.0,59.147606140564,2003-08-01
487449.0,55871.0,236102.0,201114.0,2.74,675.442,40.0,57.833755537243,2003-09-01
731606.0,77143.0,374048.0,217443.0,2.75,646.0695652,40.0,62.943605435077,2003-10-01
460649.0,53959.0,310502.0,141384.0,2.75,625.467,41.0,63.373358052551,2003-11-01
524314.0,49987.0,262805.0,129689.0,2.45,602.9045,42.0,66.085423779699,2003-12-01
577853.0,37216.0,241848.0,123063.0,1.87,573.6414286,46.0,60.997060204058,2004-01-01
514681.0,33675.0,163944.0,107758.0,1.74,584.306,46.0,58.268919701988,2004-02-01
1167477.0,82095.0,252083.0,165961.0,1.72,603.9121739,44.0,65.160412346315,2004-03-01
776930.0,44256.0,273383.0,155001.0,1.73,608.1871429,41.0,64.37545096138,2004-04-01
